StudentId;SemesterId;SubjectId;YearsOfStudyId;FirstFifteenMinuteExam;SecondFifteenMinuteExam;ThirdFifteenMinuteExam;FirstFortyFiveMinuteExam;SecondFortyFiveMinuteExam;FinalExam;ModifiedDate
3;1;10;14;7,1;7,2;7,4;7,5;7,6;7,7;2023-07-26
3;1;11;14;5,7;7,5;9,2;6;7,7;9,5;2023-07-26
3;1;12;14;8,4;8,6;8,8;9,1;9,3;9,5;2023-07-26
4;1;1;14;9;8,1;7,2;6,4;5,5;9,7;2023-07-26
4;1;2;14;9;7,4;5,8;9,3;7,7;6,1;2023-07-26
4;1;3;14;8,7;9,6;5,4;6,3;7,1;8;2023-07-26
4;1;4;14;5,4;8,2;6,1;8,9;6,8;9,6;2023-07-26
4;1;5;14;9;7,9;6,7;5,6;9,4;8,2;2023-07-26
4;1;6;14;9;5,4;6,8;8,2;9,6;5,9;2023-07-26
4;1;7;14;5,8;8,6;6,5;9,4;7,2;5,1;2023-07-26
4;1;8;14;7,4;7,9;8,5;9,1;9,6;5,2;2023-07-26
4;1;9;14;8,9;6,6;9,2;6,8;9,5;7,1;2023-07-26
4;1;10;14;9,3;8,7;8,1;7,5;6,9;6,3;2023-07-26
4;1;11;14;7,3;9;5,7;7,4;9,1;5,8;2023-07-26
4;1;12;14;8;8;8,1;8,2;8,3;8,4;2023-07-26
5;1;1;14;8;8,5;9;9,5;5;5,5;2023-07-26
5;1;2;14;7,1;7,8;8,4;9,1;9,8;5,4;2023-07-26
5;1;3;14;9;9,6;5,2;5,7;6,3;6,9;2023-07-26
5;1;4;14;7,7;5;7,2;9,5;6,7;9;2023-07-26
5;1;5;14;9,6;8,2;6,8;5,5;9,1;7,8;2023-07-26
5;1;6;14;7,6;8,6;9,7;5,7;6,7;7,7;2023-07-26
5;1;7;14;5,3;6,3;7,3;8,3;9,3;5,3;2023-07-26
5;1;8;14;7,3;8,7;5;6,4;7,8;9,2;2023-07-26
5;1;9;14;5,6;6,2;6,8;7,4;8;8,7;2023-07-26
5;1;10;14;6;7,7;9,5;6,2;7,9;9,7;2023-07-26
5;1;11;14;8,6;9,2;9,8;5,4;5,9;6,5;2023-07-26
5;1;12;14;6,5;5,6;9,6;8,7;7,7;6,7;2023-07-26
6;1;1;14;8,1;8,1;8,2;8,3;8,4;8,4;2023-07-26
6;1;2;14;5,9;5,1;9,2;8,4;7,5;6,6;2023-07-26
6;1;3;14;7,8;8,9;5;6,1;7,3;8,4;2023-07-26
6;1;4;14;5,8;7,4;9;5,6;7,1;8,7;2023-07-26
6;1;5;14;6;6;6;6;6;6;2023-07-26
6;1;6;14;5,4;7,8;5,2;7,5;9,9;7,3;2023-07-26
6;1;7;14;5,1;7;8,9;5,8;7,7;9,6;2023-07-26
6;1;8;14;9,2;7,5;5,8;9,1;7,4;5,8;2023-07-26
6;1;9;14;9,3;5,2;6;6,9;7,8;8,6;2023-07-26
6;1;10;14;8,1;6,4;9,7;8;6,2;9,5;2023-07-26
6;1;11;14;8,7;7,7;6,6;5,6;9,6;8,6;2023-07-26
6;1;12;14;8,1;6,8;5,5;9,1;7,8;6,5;2023-07-26
7;1;1;14;7,4;9,6;6,8;9,1;6,3;8,6;2023-07-26
7;1;2;14;5,6;7,9;5,2;7,5;9,8;7,1;2023-07-26
7;1;3;14;5,2;8,3;6,4;9,5;7,5;5,6;2023-07-26
7;1;4;14;8,2;7,5;6,8;6,1;5,3;9,6;2023-07-26
7;1;5;14;5,5;8,9;7,3;5,6;9;7,4;2023-07-26
7;1;6;14;6,5;6,8;7;7,3;7,6;7,9;2023-07-26
7;1;7;14;5,4;9,5;8,6;7,8;6,9;6;2023-07-26
7;1;8;14;9,6;5,7;6,8;7,9;9;5,1;2023-07-26
7;1;9;14;9,3;5,8;7,3;8,8;5,3;6,9;2023-07-26
7;1;10;14;7,8;7;6,2;5,5;9,7;8,9;2023-07-26
7;1;11;14;7,5;5,1;7,7;5,3;7,9;5,5;2023-07-26
7;1;12;14;9,5;5,2;5,9;6,6;7,3;8,1;2023-07-26
8;1;1;14;9,3;7,7;6,2;9,6;8,1;6,5;2023-07-26
8;1;2;14;5,9;5,5;5,1;9,6;9,2;8,8;2023-07-26
8;1;3;14;5,1;7,8;5,5;8,2;5,9;8,6;2023-07-26
8;1;4;14;9,5;5,5;6,5;7,5;8,5;9,5;2023-07-26
8;1;5;14;6,8;5,9;5;9,2;8,3;7,4;2023-07-26
8;1;6;14;8,4;8,8;9,1;9,5;9,9;5,2;2023-07-26
8;1;7;14;7,8;7,4;7;6,6;6,2;5,8;2023-07-26
8;1;8;14;8;5,4;7,7;5,1;7,5;9,9;2023-07-26
8;1;9;14;5,4;8,2;6;8,8;6,7;9,5;2023-07-26
8;1;10;14;7,1;8,9;5,8;7,6;9,4;6,2;2023-07-26
8;1;11;14;7,3;5;7,8;5,6;8,3;6,1;2023-07-26
8;1;12;14;8,1;7,8;7,5;7,1;6,8;6,5;2023-07-26
9;1;1;14;6,2;6,5;6,7;7;7,2;7,5;2023-07-26
9;1;2;14;9,9;6,2;7,5;8,8;5;6,3;2023-07-26
9;1;3;14;6,3;6,9;7,5;8;8,6;9,2;2023-07-26
9;1;4;14;8,4;8,7;9;9,2;9,5;9,8;2023-07-26
9;1;5;14;9,1;6,6;9,1;6,6;9,1;6,7;2023-07-26
9;1;6;14;8,1;6,5;9,8;8,2;6,6;5;2023-07-26
9;1;7;14;8,6;7,8;7;6,3;5,5;9,7;2023-07-26
9;1;8;14;9,9;7,1;9,3;6,5;8,7;5,9;2023-07-26
9;1;9;14;8,4;5,1;6,8;8,4;5,1;6,8;2023-07-26
9;1;10;14;5,9;7,8;9,7;6,5;8,4;5,3;2023-07-26
9;1;11;14;5,3;5,3;5,3;5,4;5,4;5,4;2023-07-26
9;1;12;14;8,9;5,2;6,6;7,9;9,2;5,6;2023-07-26
10;1;1;14;7,4;5,3;8,3;6,2;9,1;7;2023-07-26
10;1;2;14;7;8,7;5,4;7,2;8,9;5,6;2023-07-26
10;1;3;14;6,7;9,7;7,7;5,8;8,8;6,8;2023-07-26
10;1;4;14;9;9,4;9,7;5,1;5,4;5,8;2023-07-26
10;1;5;14;5,5;8,1;5,8;8,4;6;8,7;2023-07-26
10;1;6;14;8,9;8,4;7,9;7,4;6,9;6,4;2023-07-26
10;1;7;14;7,2;9,7;7,3;9,8;7,3;9,8;2023-07-26
10;1;8;14;5,2;6,1;6,9;7,8;8,6;9,5;2023-07-26
10;1;9;14;8,4;9,9;6,4;8;9,5;6;2023-07-26
10;1;10;14;8,2;8,7;9,1;9,5;9,9;5,3;2023-07-26
10;1;11;14;6,4;9,6;7,7;5,9;9;7,2;2023-07-26
10;1;12;14;5,1;5,5;5,9;6,3;6,7;7,1;2023-07-26
11;1;1;14;5,3;9,9;9,6;9,3;9;8,7;2023-07-26
11;1;2;14;5,5;6,4;7,3;8,2;9,1;5;2023-07-26
11;1;3;14;7,4;6,5;5,7;9,9;9,1;8,3;2023-07-26
11;1;4;14;5,9;6,4;6,9;7,3;7,8;8,3;2023-07-26
11;1;5;14;5,3;8,9;7,6;6,3;5;8,7;2023-07-26
11;1;6;14;5,7;7,2;8,8;5,4;7;8,6;2023-07-26
11;1;7;14;7,7;8,5;9,4;5,2;6,1;7;2023-07-26
11;1;8;14;5,2;5,6;6;6,5;6,9;7,3;2023-07-26
11;1;9;14;8,3;7,8;7,4;6,9;6,4;6;2023-07-26
11;1;10;14;7;5,5;8,9;7,3;5,7;9,1;2023-07-26
11;1;11;14;7;6;5;9;8;7,1;2023-07-26
11;1;12;14;5,5;7,6;9,7;6,8;8,9;6;2023-07-26
12;1;1;14;5,1;9,8;9,5;9,2;8,9;8,7;2023-07-26
12;1;2;14;6,9;5,8;9,6;8,5;7,3;6,1;2023-07-26
12;1;3;14;5,5;9,1;7,7;6,2;9,8;8,4;2023-07-26
12;1;4;14;6,2;9,3;7,4;5,5;8,7;6,8;2023-07-26
12;1;5;14;9,2;9,2;9,1;9,1;9,1;9,1;2023-07-26
12;1;6;14;7,6;8;8,4;8,8;9,2;9,6;2023-07-26
12;1;7;14;6;5,1;9,1;8,1;7,2;6,2;2023-07-26
12;1;8;14;8,4;9,9;6,5;8;9,6;6,2;2023-07-26
12;1;9;14;5,5;5,1;9,7;9,2;8,8;8,4;2023-07-26
12;1;10;14;6,2;7,5;8,9;5,2;6,6;7,9;2023-07-26
12;1;11;14;7,1;5,2;8,2;6,3;9,4;7,4;2023-07-26
12;1;12;14;9,7;7,1;9,5;6,9;9,3;6,7;2023-07-26
13;1;1;14;6,7;9;6,4;8,7;6;8,4;2023-07-26
13;1;2;14;8,7;8;7,2;6,5;5,7;5;2023-07-26
13;1;3;14;7,4;7,2;6,9;6,7;6,5;6,2;2023-07-26
13;1;4;14;6,4;9,7;8,1;6,4;9,7;8,1;2023-07-26
13;1;5;14;9,9;9,2;8,4;7,7;7;6,3;2023-07-26
13;1;6;14;7;8,9;5,8;7,7;9,7;6,6;2023-07-26
13;1;7;14;9,6;7,8;6;9,1;7,3;5,4;2023-07-26
13;1;8;14;7,9;7,7;7,6;7,5;7,3;7,2;2023-07-26
13;1;9;14;8,5;6,6;9,7;7,8;6;9,1;2023-07-26
13;1;10;14;6,2;6,4;6,5;6,7;6,8;7;2023-07-26
13;1;11;14;8,1;8,7;9,3;9,9;5,5;6,1;2023-07-26
13;1;12;14;8,5;5,1;6,7;8,3;9,9;6,6;2023-07-26
14;1;1;14;5,7;9,9;9,1;8,3;7,5;6,7;2023-07-26
14;1;2;14;7,7;6,4;5,1;8,9;7,6;6,3;2023-07-26
14;1;3;14;9,6;8,1;6,6;5,1;8,6;7,1;2023-07-26
14;1;4;14;7,7;7,8;7,9;8;8,1;8,1;2023-07-26
14;1;5;14;8,2;9,2;5,2;6,2;7,3;8,3;2023-07-26
14;1;6;14;5,1;9,7;9,2;8,8;8,4;8;2023-07-26
14;1;7;14;5,5;7,3;9,2;6;7,8;9,6;2023-07-26
14;1;8;14;5,3;9,8;9,4;8,9;8,4;7,9;2023-07-26
14;1;9;14;5;7,7;5,4;8,1;5,8;8,5;2023-07-26
14;1;10;14;6,1;7;8;8,9;9,8;5,7;2023-07-26
14;1;11;14;8,9;9,5;5,2;5,8;6,4;7,1;2023-07-26
14;1;12;14;8,5;7,3;6,1;9,9;8,7;7,5;2023-07-26
15;1;1;14;8,4;9,3;5,2;6,1;7;7,9;2023-07-26
15;1;2;14;6;5,4;9,8;9,2;8,6;8;2023-07-26
15;1;3;14;6;6,9;7,7;8,6;9,4;5,3;2023-07-26
15;1;4;14;5,8;6,9;8;9,1;5,3;6,4;2023-07-26
15;1;5;14;7,2;8,5;9,9;6,3;7,6;9;2023-07-26
15;1;6;14;8;9,6;6,2;7,8;9,4;6;2023-07-26
15;1;7;14;9,5;5,4;6,2;7;7,8;8,7;2023-07-26
15;1;8;14;9;7,4;5,7;9;7,4;5,7;2023-07-26
15;1;9;14;8,4;6,2;9,1;6,9;9,7;7,6;2023-07-26
15;1;10;14;7,6;9,4;6,1;7,9;9,7;6,5;2023-07-26
15;1;11;14;9,1;7,3;5,5;8,6;6,8;9,9;2023-07-26
15;1;12;14;6,5;5,9;5,4;9,8;9,2;8,7;2023-07-26
16;1;1;14;8,2;5;6,8;8,7;5,5;7,3;2023-07-26
16;1;2;14;6,2;8,8;6,3;8,8;6,3;8,8;2023-07-26
16;1;3;14;5,3;6,4;7,5;8,7;9,8;6;2023-07-26
16;1;4;14;6,3;8,9;6,5;9,1;6,7;9,3;2023-07-26
16;1;5;14;7,4;7,6;7,8;8,1;8,3;8,6;2023-07-26
16;1;6;14;9,1;8,2;7,4;6,5;5,7;9,8;2023-07-26
16;1;7;14;7;6;5;8,9;7,9;6,9;2023-07-26
16;1;8;14;8,9;8,4;8;7,5;7,1;6,6;2023-07-26
16;1;9;14;8,8;7;5,3;8,5;6,8;5;2023-07-26
16;1;10;14;6,9;8,9;5,9;7,8;9,8;6,8;2023-07-26
16;1;11;14;5,5;9,4;8,3;7,2;6,2;5,1;2023-07-26
16;1;12;14;6,4;7,7;9;5,2;6,5;7,8;2023-07-26
17;1;1;14;8;9,9;6,8;8,6;5,5;7,4;2023-07-26
17;1;2;14;8,3;7,2;6,2;5,1;9,1;8;2023-07-26
17;1;3;14;5,1;5,7;6,2;6,7;7,3;7,8;2023-07-26
17;1;4;14;5,4;5,4;5,4;5,4;5,4;5,4;2023-07-26
17;1;5;14;5,6;5,1;9,7;9,2;8,7;8,3;2023-07-26
17;1;6;14;6,7;5,3;8,8;7,4;5,9;9,5;2023-07-26
17;1;7;14;9,7;9,4;9,1;8,8;8,5;8,2;2023-07-26
17;1;8;14;5,5;6,9;8,3;9,8;6,2;7,6;2023-07-26
17;1;9;14;9,8;8,4;7;5,6;9,2;7,9;2023-07-26
17;1;10;14;8,9;9,9;5,8;6,8;7,7;8,7;2023-07-26
17;1;11;14;7,9;5,4;7,8;5,2;7,7;5,1;2023-07-26
17;1;12;14;8,8;8,7;8,6;8,5;8,4;8,3;2023-07-26
18;1;1;14;5,9;7;8;9,1;5,2;6,2;2023-07-26
18;1;2;14;8,8;5,9;7,9;9,9;7;9;2023-07-26
18;1;3;14;5,7;9,2;7,6;6,1;9,6;8,1;2023-07-26
18;1;4;14;5,4;6,9;8,5;5;6,5;8,1;2023-07-26
18;1;5;14;6,6;5,9;5,3;9,6;9;8,3;2023-07-26
18;1;6;14;9,1;6,3;8,6;5,8;8,1;5,3;2023-07-26
18;1;7;14;5,1;8,8;7,6;6,4;5,2;8,9;2023-07-26
18;1;8;14;8;5,4;7,9;5,3;7,7;5,1;2023-07-26
18;1;9;14;8,5;9,1;9,6;5,2;5,8;6,3;2023-07-26
18;1;10;14;8;7,1;6,2;5,3;9,3;8,4;2023-07-26
18;1;11;14;9,5;7,7;6;9,2;7,5;5,8;2023-07-26
18;1;12;14;6,9;5,4;8,9;7,4;5,9;9,4;2023-07-26
19;1;1;14;9,8;8,2;6,7;5,1;8,5;7;2023-07-26
19;1;2;14;9,2;8,4;7,6;6,8;6;5,2;2023-07-26
19;1;3;14;7,9;7,2;6,5;5,7;5;9,3;2023-07-26
19;1;4;14;5,8;9,4;8;6,5;5,1;8,6;2023-07-26
19;1;5;14;9;6;7,9;9,9;6,8;8,8;2023-07-26
19;1;6;14;5;6,1;7,1;8,2;9,3;5,4;2023-07-26
19;1;7;14;9,7;5,2;5,8;6,3;6,8;7,4;2023-07-26
19;1;8;14;6,4;5,3;9,3;8,2;7,2;6,1;2023-07-26
19;1;9;14;5,5;5,9;6,4;6,9;7,4;7,9;2023-07-26
19;1;10;14;9,6;9,1;8,7;8,3;7,9;7,5;2023-07-26
19;1;11;14;7,7;7;6,2;5,4;9,7;8,9;2023-07-26
19;1;12;14;8,8;6,3;8,7;6,1;8,5;5,9;2023-07-26
20;1;1;14;7,8;8,9;9,9;6;7;8,1;2023-07-26
20;1;2;14;9,1;9,9;5,8;6,6;7,4;8,2;2023-07-26
20;1;3;14;8,4;7,2;6;9,8;8,6;7,4;2023-07-26
20;1;4;14;6,6;5,9;5,2;9,5;8,8;8;2023-07-26
20;1;5;14;7,8;9,9;7;9,1;6,2;8,3;2023-07-26
20;1;6;14;8,6;5,3;7,1;8,8;5,5;7,3;2023-07-26
20;1;7;14;6,7;7,5;8,3;9,1;9,9;5,8;2023-07-26
20;1;8;14;9,2;5,1;6;6,9;7,7;8,6;2023-07-26
20;1;9;14;8,2;8,3;8,4;8,5;8,6;8,7;2023-07-26
20;1;10;14;6,4;7,6;8,9;5,1;6,4;7,6;2023-07-26
20;1;11;14;5,3;6,9;8,4;5;6,5;8,1;2023-07-26
20;1;12;14;8,5;6,7;9,9;8,1;6,3;9,5;2023-07-26
21;1;1;14;8,3;9;9,7;5,4;6;6,7;2023-07-26
21;1;2;14;6,6;9;6,5;8,9;6,3;8,8;2023-07-26
21;1;3;14;7,2;7,4;7,6;7,8;8;8,3;2023-07-26
21;1;4;14;9,7;5,7;6,7;7,7;8,7;9,7;2023-07-26
21;1;5;14;6,8;5;8,2;6,4;9,6;7,8;2023-07-26
21;1;6;14;7,4;8,9;5,4;6,9;8,4;9,9;2023-07-26
21;1;7;14;7,9;8,6;9,3;5;5,7;6,4;2023-07-26
21;1;8;14;9,9;7,7;5,5;8,3;6,1;9;2023-07-26
21;1;9;14;8,8;9,5;5,2;5,8;6,5;7,2;2023-07-26
21;1;10;14;8,2;5,2;7,3;9,3;6,3;8,4;2023-07-26
21;1;11;14;5,5;7,1;8,7;5,2;6,8;8,3;2023-07-26
21;1;12;14;6,3;6,7;7;7,4;7,7;8;2023-07-26
22;1;1;14;8,8;8;7,3;6,6;5,8;5,1;2023-07-26
22;1;2;14;8,8;5;6,1;7,2;8,4;9,5;2023-07-26
22;1;3;14;6,4;5,9;5,4;9,8;9,3;8,8;2023-07-26
22;1;4;14;9,7;7,3;9,8;7,3;9,9;7,4;2023-07-26
22;1;5;14;9,2;9,6;5;5,4;5,8;6,3;2023-07-26
22;1;6;14;6,5;5;8,5;6,9;5,4;8,9;2023-07-26
22;1;7;14;8,3;7,7;7,1;6,6;6;5,4;2023-07-26
22;1;8;14;6,3;7,8;9,3;5,7;7,2;8,7;2023-07-26
22;1;9;14;6,1;8,8;6,6;9,4;7,2;5;2023-07-26
22;1;10;14;6,8;7,8;8,9;5;6;7,1;2023-07-26
22;1;11;14;7,5;8;8,5;8,9;9,4;9,9;2023-07-26
22;1;12;14;7,4;5,9;9,5;8;6,5;5;2023-07-26
23;1;1;14;5,6;9,1;7,5;6;9,4;7,9;2023-07-26
23;1;2;14;8,4;7,9;7,4;6,9;6,4;5,9;2023-07-26
23;1;3;14;5,2;5,5;5,8;6,1;6,4;6,7;2023-07-26
23;1;4;14;9,8;8,7;7,5;6,4;5,2;9;2023-07-26
23;1;5;14;6,3;9,5;7,8;6,1;9,3;7,6;2023-07-26
23;1;6;14;5,2;7,6;9,9;7,3;9,7;7,1;2023-07-26
23;1;7;14;8,6;7;5,4;8,8;7,2;5,6;2023-07-26
23;1;8;14;8,4;5,5;7,7;9,9;7,1;9,3;2023-07-26
23;1;9;14;8,8;6,5;9,1;6,8;9,5;7,1;2023-07-26
23;1;10;14;9,4;5,4;6,5;7,6;8,7;9,8;2023-07-26
23;1;11;14;7,5;5,3;8,2;6,1;9;6,9;2023-07-26
23;1;12;14;7,4;6,9;6,4;5,9;5,5;5;2023-07-26
24;1;1;14;7,7;8,6;9,5;5,3;6,2;7,1;2023-07-26
24;1;2;14;5;9,5;9;8,6;8,1;7,6;2023-07-26
24;1;3;14;9,5;5,3;6;6,8;7,5;8,3;2023-07-26
24;1;4;14;8;7;6;9,9;8,9;7,9;2023-07-26
24;1;5;14;6,6;5,5;9,4;8,3;7,2;6;2023-07-26
24;1;6;14;7,8;9,2;5,6;7,1;8,5;9,9;2023-07-26
24;1;7;14;5;6,7;8,5;5,2;6,9;8,7;2023-07-26
24;1;8;14;9,6;8,6;7,6;6,7;5,7;9,7;2023-07-26
24;1;9;14;8,5;7,8;7,1;6,3;5,6;9,8;2023-07-26
24;1;10;14;7;5,4;8,9;7,4;5,8;9,3;2023-07-26
24;1;11;14;7,8;7,8;7,9;7,9;7,9;7,9;2023-07-26
24;1;12;14;8,9;9,9;5,8;6,8;7,8;8,7;2023-07-26
25;1;1;14;7,1;9,4;6,7;8,9;6,2;8,5;2023-07-26
25;1;2;14;6,9;5,2;8,4;6,7;5;8,3;2023-07-26
25;1;3;14;5;5,5;5,9;6,4;6,8;7,3;2023-07-26
25;1;4;14;6,7;8,3;9,9;6,5;8,1;9,8;2023-07-26
25;1;5;14;8;9,8;6,7;8,5;5,4;7,2;2023-07-26
25;1;6;14;9;9;9,1;9,2;9,2;9,3;2023-07-26
25;1;7;14;7,4;7,8;8,2;8,6;9;9,4;2023-07-26
25;1;8;14;6,5;6,1;5,7;5,3;9,9;9,5;2023-07-26
25;1;9;14;9;6;7,9;9,9;6,8;8,8;2023-07-26
25;1;10;14;9,7;6,4;8,1;9,8;6,5;8,2;2023-07-26
25;1;11;14;9;6,5;9,1;6,6;9,2;6,8;2023-07-26
25;1;12;14;8,4;7,1;5,8;9,5;8,2;6,9;2023-07-26
26;1;1;14;7,1;8,3;9,5;5,7;6,9;8,1;2023-07-26
26;1;2;14;8;9,9;6,7;8,6;5,4;7,3;2023-07-26
26;1;3;14;8,6;8,1;7,7;7,2;6,8;6,3;2023-07-26
26;1;4;14;8,6;6,9;5,2;8,5;6,7;5;2023-07-26
26;1;5;14;9,5;8,1;6,8;5,4;9,1;7,7;2023-07-26
26;1;6;14;7,1;6,5;5,9;5,3;9,6;9;2023-07-26
26;1;7;14;7,5;5,1;7,8;5,5;8,2;5,9;2023-07-26
26;1;8;14;9,4;7,5;5,7;8,9;7,1;5,3;2023-07-26
26;1;9;14;6,3;9,6;7,8;6,1;9,3;7,6;2023-07-26
26;1;10;14;8,9;8,9;8,9;8,8;8,8;8,7;2023-07-26
26;1;11;14;7;8,6;5,3;7;8,6;5,3;2023-07-26
26;1;12;14;9,2;5;5,9;6,8;7,7;8,6;2023-07-26
27;1;1;14;6,9;9,7;7,4;5,1;7,8;5,6;2023-07-26
27;1;2;14;5,2;5,7;6,1;6,6;7;7,5;2023-07-26
27;1;3;14;9,6;7,2;9,8;7,4;5;7,6;2023-07-26
27;1;4;14;8,2;9,6;6;7,3;8,7;5,1;2023-07-26
27;1;5;14;6,7;6;5,4;9,7;9,1;8,4;2023-07-26
27;1;6;14;7,8;9,3;5,8;7,2;8,7;5,2;2023-07-26
27;1;7;14;8,8;8,1;7,4;6,6;5,9;5,1;2023-07-26
27;1;8;14;8,6;8,6;8,6;8,6;8,6;8,5;2023-07-26
27;1;9;14;5,5;5;9,5;8,9;8,4;7,9;2023-07-26
27;1;10;14;6,3;5,6;9,9;9,3;8,6;8;2023-07-26
27;1;11;14;7,7;9,2;5,8;7,4;9;5,5;2023-07-26
27;1;12;14;9,3;9,3;9,3;9,3;9,3;9,3;2023-07-26
28;1;1;14;5,1;7;9;5,9;7,8;9,8;2023-07-26
28;1;2;14;6,9;8,7;5,5;7,2;9;5,8;2023-07-26
28;1;3;14;5,3;5,6;6;6,3;6,7;7;2023-07-26
28;1;4;14;9,8;7,4;5;7,6;5,2;7,8;2023-07-26
28;1;5;14;6,9;7,6;8,3;8,9;9,6;5,3;2023-07-26
28;1;6;14;5,9;9,2;7,4;5,7;9;7,3;2023-07-26
28;1;7;14;8,3;5,9;8,4;6;8,6;6,1;2023-07-26
28;1;8;14;7,9;7,1;6,3;5,5;9,7;8,9;2023-07-26
28;1;9;14;6;7,9;9,9;6,9;8,9;5,8;2023-07-26
28;1;10;14;6;8,1;5,2;7,2;9,3;6,4;2023-07-26
28;1;11;14;5,9;8,6;6,4;9,2;6,9;9,7;2023-07-26
28;1;12;14;8,5;5,6;7,6;9,6;6,7;8,7;2023-07-26
29;1;1;14;9,1;6;7,9;9,8;6,7;8,6;2023-07-26
29;1;2;14;6,4;9,8;8,3;6,7;5,1;8,6;2023-07-26
29;1;3;14;5,1;5,4;5,8;6,2;6,6;6,9;2023-07-26
29;1;4;14;6,4;6,2;6,1;6;5,9;5,8;2023-07-26
29;1;5;14;9,5;5,2;6;6,8;7,6;8,4;2023-07-26
29;1;6;14;8,4;5,2;7,1;8,9;5,7;7,5;2023-07-26
29;1;7;14;7,5;5,2;8;5,7;8,4;6,1;2023-07-26
29;1;8;14;8,1;5,4;7,7;5;7,4;9,7;2023-07-26
29;1;9;14;9,9;6,5;8,1;9,7;6,3;8;2023-07-26
29;1;10;14;5,8;5,4;5;9,5;9,1;8,7;2023-07-26
29;1;11;14;9,7;8,6;7,5;6,4;5,3;9,2;2023-07-26
29;1;12;14;7,7;9,1;5,5;6,9;8,3;9,7;2023-07-26
30;1;1;14;9,3;6,8;9,2;6,7;9,2;6,6;2023-07-26
30;1;2;14;9,1;8,1;7,2;6,2;5,3;9,3;2023-07-26
30;1;3;14;9,8;5;5,3;5,6;5,8;6,1;2023-07-26
30;1;4;14;6,2;6,7;7,1;7,6;8,1;8,6;2023-07-26
30;1;5;14;5,9;8,3;5,7;8,1;5,6;8;2023-07-26
30;1;6;14;5,3;7,9;5,4;8;5,6;8,2;2023-07-26
30;1;7;14;7,9;7,1;6,3;5,5;9,7;8,9;2023-07-26
30;1;8;14;5,8;7,7;9,5;6,4;8,3;5,1;2023-07-26
30;1;9;14;5,3;5,6;5,9;6,1;6,4;6,7;2023-07-26
30;1;10;14;9,2;8,7;8,3;7,9;7,4;7;2023-07-26
30;1;11;14;8,4;9,8;6,1;7,5;8,9;5,2;2023-07-26
30;1;12;14;7,6;9,4;6,3;8,1;5;6,8;2023-07-26
31;1;1;14;6,8;5,8;9,8;8,9;7,9;6,9;2023-07-26
31;1;2;14;7,6;7,7;7,8;7,9;8;8,1;2023-07-26
31;1;3;14;7,4;9,9;7,4;9,9;7,5;5;2023-07-26
31;1;4;14;5,4;5,4;5,3;5,3;5,3;5,2;2023-07-26
